Time,S1,S2,S3
00:00:00,1.0,1.0,0.0
00:00:05,1.0,0.0,1.0
00:00:10,1.0,0.0,2.0
00:00:15,1.0,0.0,0.0
00:00:20,0.0,0.0,0.0
00:00:25,0.0,0.0,0.0
00:00:30,0.0,0.0,0.0
00:00:35,1.0,1.0,0.0
00:00:40,0.0,2.0,0.0
00:00:45,0.0,0.0,0.0
00:00:50,0.0,0.0,0.0
00:00:55,0.0,0.0,1.0
00:01:00,1.0,1.0,0.0
00:01:05,0.0,0.0,0.0
00:01:10,0.0,0.0,0.0
00:01:15,0.0,0.0,0.0
00:01:20,1.0,0.0,3.0
00:01:25,0.0,1.0,1.0
00:01:30,0.0,1.0,0.0
00:01:35,0.0,1.0,1.0
00:01:40,0.0,1.0,2.0
00:01:45,1.0,0.0,0.0
00:01:50,0.0,2.0,0.0
00:01:55,1.0,1.0,0.0
00:02:00,0.0,0.0,1.0
00:02:05,0.0,1.0,3.0
00:02:10,1.0,2.0,2.0
00:02:15,0.0,0.0,0.0
00:02:20,1.0,0.0,1.0
00:02:25,0.0,1.0,0.0
00:02:30,0.0,0.0,0.0
00:02:35,0.0,3.0,0.0
00:02:40,1.0,1.0,0.0
00:02:45,0.0,1.0,0.0
00:02:50,1.0,1.0,5.0
00:02:55,0.0,1.0,5.0
00:03:00,0.0,0.0,4.0
00:03:05,0.0,0.0,0.0
00:03:10,0.0,0.0,3.0
00:03:15,0.0,1.0,4.0
00:03:20,0.0,0.0,1.0
00:03:25,0.0,1.0,0.0
00:03:30,0.0,1.0,0.0
00:03:35,0.0,2.0,1.0
00:03:40,0.0,1.0,0.0
00:03:45,1.0,1.0,0.0
00:03:50,0.0,1.0,1.0
00:03:55,0.0,0.0,0.0
00:04:00,1.0,0.0,1.0
00:04:05,0.0,3.0,0.0
00:04:10,0.0,0.0,2.0
00:04:15,0.0,0.0,2.0
00:04:20,1.0,0.0,0.0
00:04:25,1.0,0.0,0.0
00:04:30,1.0,1.0,1.0
00:04:35,0.0,1.0,0.0
00:04:40,1.0,2.0,1.0
00:04:45,0.0,2.0,0.0
00:04:50,1.0,1.0,0.0
00:04:55,1.0,0.0,0.0
00:05:00,1.0,0.0,0.0
00:05:05,1.0,0.0,2.0
00:05:10,0.0,0.0,2.0
00:05:15,0.0,0.0,1.0
00:05:20,0.0,0.0,0.0
00:05:25,0.0,3.0,2.0
00:05:30,0.0,1.0,0.0
00:05:35,0.0,1.0,0.0
00:05:40,0.0,1.0,0.0
00:05:45,0.0,0.0,0.0
00:05:50,1.0,2.0,0.0
00:05:55,0.0,0.0,4.0
00:06:00,0.0,0.0,0.0
00:06:05,0.0,1.0,2.0
00:06:10,1.0,0.0,4.0
00:06:15,0.0,1.0,1.0
00:06:20,0.0,0.0,0.0
00:06:25,0.0,1.0,0.0
00:06:30,0.0,0.0,1.0
00:06:35,0.0,0.0,1.0
00:06:40,0.0,1.0,1.0
00:06:45,1.0,0.0,0.0
00:06:50,1.0,2.0,0.0
00:06:55,0.0,4.0,2.0
00:07:00,1.0,2.0,0.0
00:07:05,0.0,0.0,1.0
00:07:10,0.0,2.0,2.0
00:07:15,1.0,1.0,4.0
00:07:20,0.0,1.0,0.0
00:07:25,1.0,0.0,0.0
00:07:30,0.0,1.0,0.0
00:07:35,1.0,3.0,0.0
00:07:40,0.0,2.0,1.0
00:07:45,0.0,1.0,0.0
00:07:50,1.0,1.0,1.0
00:07:55,0.0,0.0,0.0
00:08:00,0.0,0.0,0.0
00:08:05,0.0,0.0,2.0
00:08:10,0.0,1.0,3.0
00:08:15,1.0,0.0,0.0
00:08:20,0.0,1.0,0.0
00:08:25,0.0,2.0,1.0
00:08:30,0.0,1.0,0.0
00:08:35,1.0,1.0,0.0
00:08:40,0.0,3.0,0.0
00:08:45,0.0,0.0,0.0
00:08:50,1.0,0.0,0.0
00:08:55,1.0,0.0,0.0
00:09:00,0.0,1.0,0.0
00:09:05,0.0,0.0,0.0
00:09:10,0.0,1.0,1.0
00:09:15,0.0,0.0,2.0
00:09:20,1.0,0.0,0.0
00:09:25,0.0,0.0,2.0
00:09:30,0.0,0.0,0.0
00:09:35,0.0,2.0,1.0
00:09:40,0.0,0.0,0.0
00:09:45,2.0,3.0,0.0
00:09:50,0.0,1.0,2.0
00:09:55,1.0,1.0,0.0
00:10:00,0.0,0.0,0.0
00:10:05,1.0,1.0,3.0
00:10:10,0.0,0.0,4.0
00:10:15,1.0,0.0,0.0
00:10:20,0.0,2.0,0.0
00:10:25,0.0,0.0,0.0
00:10:30,0.0,0.0,1.0
00:10:35,0.0,0.0,0.0
00:10:40,0.0,2.0,1.0
00:10:45,0.0,1.0,0.0
00:10:50,0.0,0.0,0.0
00:10:55,0.0,1.0,1.0
00:11:00,1.0,1.0,0.0
00:11:05,1.0,0.0,0.0
00:11:10,1.0,0.0,1.0
00:11:15,0.0,2.0,3.0
00:11:20,0.0,0.0,1.0
00:11:25,0.0,0.0,0.0
00:11:30,0.0,1.0,0.0
00:11:35,1.0,0.0,0.0
00:11:40,0.0,0.0,0.0
00:11:45,0.0,0.0,2.0
00:11:50,0.0,0.0,2.0
00:11:55,0.0,2.0,2.0
00:12:00,0.0,0.0,0.0
00:12:05,0.0,0.0,0.0
00:12:10,0.0,0.0,5.0
00:12:15,0.0,3.0,5.0
00:12:20,0.0,0.0,0.0
00:12:25,0.0,1.0,0.0
00:12:30,0.0,1.0,0.0
00:12:35,0.0,0.0,0.0
00:12:40,0.0,2.0,1.0
00:12:45,1.0,5.0,4.0
00:12:50,0.0,3.0,1.0
00:12:55,1.0,2.0,0.0
00:13:00,1.0,0.0,0.0
00:13:05,1.0,0.0,1.0
00:13:10,2.0,0.0,1.0
00:13:15,2.0,4.0,0.0
00:13:20,0.0,3.0,2.0
00:13:25,0.0,1.0,0.0
00:13:30,1.0,0.0,0.0
00:13:35,1.0,0.0,2.0
00:13:40,0.0,2.0,0.0
00:13:45,1.0,0.0,0.0
00:13:50,1.0,1.0,0.0
00:13:55,0.0,2.0,0.0
00:14:00,0.0,0.0,0.0
00:14:05,0.0,0.0,0.0
00:14:10,0.0,2.0,2.0
00:14:15,0.0,0.0,3.0
00:14:20,0.0,0.0,2.0
00:14:25,1.0,1.0,2.0
00:14:30,1.0,1.0,0.0
00:14:35,1.0,1.0,0.0
00:14:40,0.0,1.0,0.0
00:14:45,1.0,1.0,0.0
00:14:50,2.0,1.0,1.0
00:14:55,1.0,2.0,0.0
00:15:00,0.0,1.0,0.0
00:15:05,1.0,0.0,0.0
00:15:10,0.0,0.0,3.0
00:15:15,1.0,0.0,2.0
00:15:20,0.0,0.0,3.0
00:15:25,0.0,1.0,0.0
00:15:30,0.0,0.0,0.0
00:15:35,1.0,0.0,0.0
00:15:40,1.0,1.0,0.0
00:15:45,1.0,1.0,0.0
00:15:50,0.0,1.0,0.0
00:15:55,0.0,3.0,0.0
00:16:00,1.0,0.0,0.0
00:16:05,0.0,0.0,0.0
00:16:10,0.0,1.0,0.0
00:16:15,0.0,0.0,3.0
00:16:20,0.0,0.0,1.0
00:16:25,0.0,0.0,1.0
00:16:30,2.0,0.0,1.0
00:16:35,1.0,2.0,0.0
00:16:40,1.0,2.0,0.0
00:16:45,2.0,0.0,0.0
00:16:50,0.0,1.0,0.0
00:16:55,1.0,1.0,0.0
00:17:00,0.0,0.0,0.0
00:17:05,,,
00:17:10,1.0,1.0,2.0
00:17:15,0.0,0.0,1.0
00:17:20,1.0,0.0,0.0
00:17:25,1.0,2.0,0.0
00:17:30,0.0,0.0,1.0
00:17:35,1.0,3.0,2.0
00:17:40,0.0,0.0,2.0
00:17:45,0.0,3.0,1.0
00:17:50,1.0,0.0,0.0
00:17:55,1.0,3.0,0.0
00:18:00,0.0,0.0,0.0
00:18:05,1.0,0.0,0.0
00:18:10,0.0,2.0,4.0
