Time,S1,S2,S3
00:00:00,2.0,0.0,0.0
00:00:05,1.0,4.0,1.0
00:00:10,1.0,0.0,0.0
00:00:15,3.0,1.0,0.0
00:00:20,0.0,0.0,3.0
00:00:25,0.0,2.0,2.0
00:00:30,4.0,2.0,0.0
00:00:35,2.0,2.0,0.0
00:00:40,1.0,0.0,0.0
00:00:45,0.0,3.0,0.0
00:00:50,2.0,3.0,1.0
00:00:55,1.0,1.0,1.0
00:01:00,1.0,4.0,0.0
00:01:05,2.0,0.0,0.0
00:01:10,0.0,2.0,1.0
00:01:15,3.0,0.0,1.0
00:01:20,1.0,0.0,0.0
00:01:25,1.0,1.0,0.0
00:01:30,2.0,1.0,0.0
00:01:35,0.0,1.0,1.0
00:01:40,0.0,0.0,0.0
00:01:45,2.0,0.0,1.0
00:01:50,3.0,0.0,1.0
00:01:55,0.0,0.0,0.0
00:02:00,0.0,1.0,0.0
00:02:05,0.0,3.0,1.0
00:02:10,1.0,2.0,0.0
00:02:15,0.0,2.0,1.0
00:02:20,2.0,1.0,2.0
00:02:25,2.0,1.0,0.0
00:02:30,0.0,0.0,1.0
00:02:35,0.0,2.0,0.0
00:02:40,3.0,0.0,1.0
00:02:45,0.0,1.0,1.0
00:02:50,1.0,3.0,2.0
00:02:55,0.0,3.0,1.0
00:03:00,0.0,0.0,2.0
00:03:05,0.0,2.0,0.0
00:03:10,4.0,1.0,0.0
00:03:15,,,
00:03:20,2.0,1.0,3.0
00:03:25,1.0,1.0,3.0
00:03:30,1.0,2.0,3.0
00:03:35,2.0,4.0,1.0
00:03:40,1.0,3.0,0.0
00:03:45,1.0,0.0,1.0
00:03:50,2.0,1.0,0.0
00:03:55,0.0,3.0,0.0
00:04:00,2.0,1.0,0.0
00:04:05,4.0,3.0,0.0
00:04:10,1.0,1.0,0.0
00:04:15,5.0,1.0,0.0
00:04:20,1.0,1.0,0.0
00:04:25,2.0,1.0,2.0
00:04:30,1.0,0.0,1.0
00:04:35,0.0,0.0,4.0
00:04:40,4.0,0.0,0.0
00:04:45,1.0,0.0,0.0
00:04:50,1.0,0.0,0.0
00:04:55,1.0,2.0,0.0
00:05:00,0.0,0.0,0.0
00:05:05,3.0,3.0,0.0
00:05:10,1.0,4.0,1.0
