Time,W1,W2,W3,W4
00:00:00,1.0,3.0,4.0,2.0
00:00:05,3.0,1.0,2.0,2.0
00:00:10,1.0,2.0,0.0,6.0
00:00:15,1.0,3.0,1.0,0.0
00:00:20,,,,
00:00:25,3.0,1.0,0.0,1.0
00:00:30,2.0,4.0,1.0,3.0
00:00:35,5.0,3.0,1.0,2.0
00:00:40,3.0,1.0,4.0,0.0
00:00:45,2.0,3.0,1.0,2.0
00:00:50,,,,
00:00:55,1.0,2.0,4.0,2.0
00:01:00,4.0,0.0,3.0,0.0
00:01:05,,,,
00:01:10,1.0,0.0,1.0,2.0
00:01:15,1.0,2.0,1.0,3.0
00:01:20,1.0,2.0,1.0,1.0
00:01:25,1.0,3.0,1.0,0.0
00:01:30,,,,
00:01:35,1.0,2.0,2.0,3.0
00:01:40,2.0,2.0,1.0,1.0
00:01:45,1.0,2.0,0.0,3.0
00:01:50,2.0,3.0,1.0,3.0
00:01:55,3.0,3.0,0.0,0.0
00:02:00,2.0,4.0,0.0,4.0
00:02:05,3.0,4.0,0.0,3.0
00:02:10,3.0,0.0,2.0,2.0
00:02:15,4.0,0.0,1.0,2.0
00:02:20,2.0,4.0,3.0,1.0
00:02:25,0.0,3.0,1.0,1.0
00:02:30,0.0,5.0,3.0,4.0
00:02:35,1.0,1.0,2.0,2.0
00:02:40,4.0,1.0,1.0,1.0
00:02:45,2.0,1.0,1.0,1.0
00:02:50,4.0,1.0,2.0,1.0
00:02:55,3.0,1.0,2.0,1.0
00:03:00,3.0,1.0,1.0,1.0
00:03:05,2.0,1.0,1.0,0.0
00:03:10,2.0,3.0,2.0,3.0
00:03:15,2.0,2.0,2.0,0.0
00:03:20,1.0,2.0,1.0,3.0
00:03:25,4.0,1.0,1.0,4.0
00:03:30,3.0,0.0,1.0,2.0
00:03:35,1.0,2.0,1.0,1.0
00:03:40,2.0,1.0,1.0,2.0
00:03:45,1.0,2.0,2.0,1.0
00:03:50,1.0,3.0,0.0,2.0
00:03:55,2.0,0.0,1.0,3.0
00:04:00,2.0,4.0,3.0,0.0
00:04:05,3.0,2.0,2.0,0.0
00:04:10,2.0,4.0,1.0,1.0
00:04:15,2.0,0.0,2.0,2.0
00:04:20,3.0,2.0,0.0,1.0
00:04:25,6.0,4.0,4.0,1.0
00:04:30,1.0,0.0,2.0,1.0
00:04:35,2.0,4.0,1.0,1.0
00:04:40,1.0,1.0,1.0,0.0
00:04:45,2.0,1.0,2.0,3.0
00:04:50,2.0,1.0,2.0,4.0
00:04:55,2.0,4.0,2.0,2.0
00:05:00,2.0,3.0,0.0,1.0
00:05:05,1.0,3.0,0.0,1.0
00:05:10,,,,
00:05:15,2.0,2.0,2.0,1.0
00:05:20,2.0,2.0,1.0,1.0
00:05:25,4.0,0.0,1.0,1.0
00:05:30,0.0,1.0,1.0,2.0
00:05:35,4.0,2.0,1.0,0.0
00:05:40,1.0,1.0,1.0,1.0
00:05:45,1.0,2.0,2.0,2.0
00:05:50,1.0,1.0,1.0,2.0
00:05:55,3.0,5.0,2.0,1.0
00:06:00,1.0,3.0,1.0,5.0
00:06:05,2.0,2.0,0.0,0.0
00:06:10,1.0,5.0,1.0,4.0
00:06:15,5.0,2.0,3.0,1.0
00:06:20,4.0,2.0,0.0,3.0
00:06:25,1.0,1.0,1.0,2.0
00:06:30,5.0,2.0,1.0,1.0
00:06:35,2.0,3.0,1.0,3.0
00:06:40,1.0,1.0,1.0,2.0
00:06:45,5.0,2.0,3.0,2.0
00:06:50,3.0,3.0,1.0,0.0
00:06:55,0.0,2.0,2.0,2.0
00:07:00,1.0,2.0,2.0,10.0
00:07:05,4.0,1.0,0.0,6.0
00:07:10,2.0,4.0,2.0,2.0
00:07:15,2.0,1.0,1.0,2.0
00:07:20,1.0,1.0,2.0,2.0
00:07:25,2.0,2.0,0.0,2.0
00:07:30,1.0,2.0,3.0,2.0
00:07:35,1.0,1.0,3.0,5.0
00:07:40,4.0,3.0,4.0,1.0
00:07:45,1.0,0.0,4.0,3.0
00:07:50,0.0,4.0,3.0,1.0
00:07:55,3.0,3.0,4.0,0.0
00:08:00,1.0,0.0,2.0,2.0
00:08:05,4.0,1.0,1.0,1.0
00:08:10,3.0,1.0,3.0,2.0
00:08:15,2.0,1.0,1.0,0.0
00:08:20,1.0,2.0,3.0,1.0
00:08:25,3.0,3.0,0.0,3.0
00:08:30,3.0,1.0,0.0,2.0
00:08:35,3.0,3.0,1.0,3.0
00:08:40,2.0,4.0,2.0,2.0
00:08:45,2.0,3.0,2.0,1.0
00:08:50,2.0,3.0,1.0,1.0
00:08:55,4.0,2.0,3.0,1.0
00:09:00,,,,
00:09:05,2.0,1.0,2.0,2.0
00:09:10,2.0,4.0,2.0,2.0
00:09:15,5.0,2.0,1.0,4.0
00:09:20,1.0,4.0,2.0,5.0
00:09:25,5.0,5.0,1.0,0.0
00:09:30,3.0,3.0,3.0,1.0
00:09:35,3.0,1.0,0.0,5.0
00:09:40,4.0,2.0,4.0,1.0
00:09:45,2.0,3.0,2.0,3.0
00:09:50,0.0,0.0,1.0,5.0
00:09:55,2.0,3.0,1.0,1.0
00:10:00,2.0,5.0,5.0,1.0
00:10:05,4.0,3.0,3.0,2.0
00:10:10,2.0,3.0,1.0,4.0
00:10:15,4.0,3.0,1.0,4.0
00:10:20,4.0,4.0,4.0,1.0
00:10:25,3.0,0.0,0.0,3.0
00:10:30,3.0,4.0,0.0,3.0
00:10:35,3.0,3.0,2.0,1.0
00:10:40,4.0,3.0,2.0,0.0
00:10:45,3.0,2.0,2.0,0.0
00:10:50,4.0,1.0,2.0,0.0
00:10:55,4.0,2.0,3.0,0.0
00:11:00,1.0,1.0,3.0,4.0
00:11:05,1.0,0.0,2.0,1.0
00:11:10,2.0,3.0,2.0,0.0
00:11:15,0.0,4.0,1.0,3.0
00:11:20,3.0,4.0,1.0,1.0
00:11:25,1.0,3.0,3.0,3.0
00:11:30,3.0,5.0,3.0,2.0
00:11:35,5.0,3.0,3.0,3.0
00:11:40,3.0,6.0,2.0,1.0
00:11:45,8.0,0.0,0.0,0.0
00:11:50,4.0,2.0,1.0,0.0
00:11:55,3.0,3.0,2.0,1.0
00:12:00,2.0,2.0,0.0,2.0
00:12:05,3.0,1.0,1.0,0.0
00:12:10,1.0,0.0,2.0,0.0
00:12:15,2.0,0.0,2.0,0.0
00:12:20,0.0,5.0,2.0,1.0
00:12:25,0.0,6.0,0.0,1.0
00:12:30,4.0,2.0,0.0,1.0
00:12:35,3.0,3.0,3.0,2.0
00:12:40,3.0,2.0,2.0,1.0
00:12:45,2.0,3.0,0.0,0.0
00:12:50,4.0,1.0,0.0,1.0
00:12:55,1.0,4.0,1.0,0.0
00:13:00,4.0,4.0,1.0,1.0
00:13:05,3.0,1.0,1.0,1.0
00:13:10,5.0,5.0,2.0,3.0
00:13:15,0.0,1.0,0.0,0.0
00:13:20,3.0,2.0,3.0,1.0
00:13:25,4.0,3.0,1.0,2.0
00:13:30,0.0,1.0,0.0,5.0
00:13:35,3.0,1.0,0.0,0.0
00:13:40,1.0,1.0,2.0,2.0
